Stream,Reach,TaxaIdentifier,Order,PreyCount,PreyDryMass,PredDryMass,PredCount,FeedingRate
Berry,R2,Plecoptera_Nemouridae_Larvae,Plecoptera,10,0.0091,501.36,82,0.03964
Berry,R3,Plecoptera_Nemouridae_Larvae,Plecoptera,19,0.0314,618.44,42,0.14430
Oak,R1,Plecoptera_Nemouridae_Larvae,Plecoptera,15,0.0163,450.88,52,0.10006
Oak,R2,Plecoptera_Nemouridae_Larvae,Plecoptera,27,0.0187,519.73,94,0.11322
Oak,R3,Plecoptera_Nemouridae_Larvae,Plecoptera,22,0.0136,585.82,70,0.08567
Soap,R1,Plecoptera_Nemouridae_Larvae,Plecoptera,5,0.0333,266.88,125,0.01081
Soap,R2,Plecoptera_Nemouridae_Larvae,Plecoptera,7,0.0347,387.77,118,0.01677
Soap,R3,Plecoptera_Nemouridae_Larvae,Plecoptera,25,0.0250,453.89,81,0.07266
Berry,R1,Plecoptera_Perlidae_Larvae,Plecoptera,1,0.5358,1459.20,114,0.00281
Berry,R2,Plecoptera_Perlidae_Larvae,Plecoptera,3,0.5358,542.40,82,0.00751
Berry,R3,Plecoptera_Perlidae_Larvae,Plecoptera,5,0.5358,661.44,42,0.02240
Oak,R1,Plecoptera_Perlidae_Larvae,Plecoptera,12,1.0771,600.80,52,0.04573
Oak,R2,Plecoptera_Perlidae_Larvae,Plecoptera,7,1.1874,612.34,94,0.01581
Oak,R3,Plecoptera_Perlidae_Larvae,Plecoptera,6,0.8878,616.40,70,0.01351
Soap,R1,Plecoptera_Perlidae_Larvae,Plecoptera,11,1.9225,592.58,125,0.01472
Soap,R2,Plecoptera_Perlidae_Larvae,Plecoptera,16,1.3704,630.75,118,0.02438
Soap,R3,Plecoptera_Perlidae_Larvae,Plecoptera,7,2.1288,596.57,81,0.00999
Oak,R3,Trichoptera_Calamoceratidae_Larvae,Trichoptera,1,0.9399,475.20,70,0.00071
Soap,R1,Trichoptera_Calamoceratidae_Larvae,Trichoptera,1,0.9399,249.60,125,0.00057
Soap,R3,Trichoptera_Calamoceratidae_Larvae,Trichoptera,2,0.9399,768.00,81,0.00137
Berry,R1,Trichoptera_Glossosomatidae_Larvae,Trichoptera,14,0.4353,456.69,114,0.00992
Berry,R2,Trichoptera_Glossosomatidae_Larvae,Trichoptera,16,0.3138,516.00,82,0.01891
Berry,R3,Trichoptera_Glossosomatidae_Larvae,Trichoptera,6,0.2413,562.80,42,0.01386
Oak,R1,Trichoptera_Glossosomatidae_Larvae,Trichoptera,2,0.0637,678.00,52,0.00523
Oak,R2,Trichoptera_Glossosomatidae_Larvae,Trichoptera,58,0.4325,484.18,94,0.07073
Oak,R3,Trichoptera_Glossosomatidae_Larvae,Trichoptera,71,0.8007,608.18,70,0.06476
Soap,R1,Trichoptera_Glossosomatidae_Larvae,Trichoptera,5,0.4067,374.88,125,0.00425
Soap,R2,Trichoptera_Glossosomatidae_Larvae,Trichoptera,40,0.2590,536.58,118,0.03716
Soap,R3,Trichoptera_Glossosomatidae_Larvae,Trichoptera,66,0.5141,465.30,81,0.06122
Berry,R1,Trichoptera_Hydropsychidae_Larvae,Trichoptera,6,0.8055,613.60,114,0.00339
Berry,R2,Trichoptera_Hydropsychidae_Larvae,Trichoptera,9,0.1817,472.00,82,0.01015
Berry,R3,Trichoptera_Hydropsychidae_Larvae,Trichoptera,4,0.0548,456.60,42,0.01037
Oak,R1,Trichoptera_Hydropsychidae_Larvae,Trichoptera,14,0.1025,585.77,52,0.03282
Oak,R2,Trichoptera_Hydropsychidae_Larvae,Trichoptera,19,0.0628,650.27,94,0.02980
Oak,R3,Trichoptera_Hydropsychidae_Larvae,Trichoptera,26,0.6869,606.74,70,0.02229
Soap,R1,Trichoptera_Hydropsychidae_Larvae,Trichoptera,6,0.0370,687.20,125,0.00685
Soap,R2,Trichoptera_Hydropsychidae_Larvae,Trichoptera,21,0.2576,440.00,118,0.01903
Soap,R3,Trichoptera_Hydropsychidae_Larvae,Trichoptera,8,0.5856,720.00,81,0.00681
Berry,R1,Trichoptera_Larvae,Trichoptera,1,0.0056,400.80,114,0.00102
Berry,R2,Trichoptera_Larvae,Trichoptera,2,0.0056,396.00,82,0.00323
Soap,R1,Trichoptera_Larvae,Trichoptera,1,0.0056,849.60,125,0.00131
Soap,R3,Trichoptera_Larvae,Trichoptera,2,0.0056,753.60,81,0.00295
Berry,R1,Trichoptera_Lepidostomatidae_Larvae,Trichoptera,56,0.0389,605.10,114,0.05400
Berry,R2,Trichoptera_Lepidostomatidae_Larvae,Trichoptera,20,0.0580,558.12,82,0.02832
Berry,R3,Trichoptera_Lepidostomatidae_Larvae,Trichoptera,20,0.0475,602.40,42,0.05637
Oak,R1,Trichoptera_Lepidostomatidae_Larvae,Trichoptera,6,0.0357,467.20,52,0.01618
Oak,R2,Trichoptera_Lepidostomatidae_Larvae,Trichoptera,4,0.0344,408.00,94,0.00659
Oak,R3,Trichoptera_Lepidostomatidae_Larvae,Trichoptera,2,0.0306,552.00,70,0.00278
Soap,R1,Trichoptera_Lepidostomatidae_Larvae,Trichoptera,26,0.0245,569.82,125,0.03079
Soap,R2,Trichoptera_Lepidostomatidae_Larvae,Trichoptera,42,0.0245,444.80,118,0.04842
Soap,R3,Trichoptera_Lepidostomatidae_Larvae,Trichoptera,12,0.0137,442.00,81,0.01605
Berry,R1,Trichoptera_Polycentropodidae_Larvae,Trichoptera,21,0.3383,908.80,114,0.01307
Berry,R2,Trichoptera_Polycentropodidae_Larvae,Trichoptera,16,0.2737,479.70,82,0.01562
Berry,R3,Trichoptera_Polycentropodidae_Larvae,Trichoptera,6,0.2395,596.40,42,0.01192
Oak,R3,Trichoptera_Polycentropodidae_Larvae,Trichoptera,2,0.2812,918.00,70,0.00189
Berry,R1,Trichoptera_Rhyacophilidae_Larvae,Trichoptera,4,0.2999,544.80,114,0.00280
Berry,R2,Trichoptera_Rhyacophilidae_Larvae,Trichoptera,5,0.1510,475.20,82,0.00604
Berry,R3,Trichoptera_Rhyacophilidae_Larvae,Trichoptera,7,0.1236,663.77,42,0.01742
Oak,R1,Trichoptera_Rhyacophilidae_Larvae,Trichoptera,5,1.9899,632.64,52,0.00505
Oak,R2,Trichoptera_Rhyacophilidae_Larvae,Trichoptera,5,0.3993,642.72,94,0.00587
Oak,R3,Trichoptera_Rhyacophilidae_Larvae,Trichoptera,8,1.1107,556.80,70,0.00528
Soap,R2,Trichoptera_Rhyacophilidae_Larvae,Trichoptera,6,1.4342,400.80,118,0.00288
Soap,R3,Trichoptera_Rhyacophilidae_Larvae,Trichoptera,7,2.3932,692.40,81,0.00301
