"Method","Organism","Biomass (g)","Respiration (g O2/g/day)","Respiration (mg O2/g/day)","Respiration (mg O2/m2/day)","Respiration (cal/m2/day)","Respiration (J/m2/day)"
"Model","Fish",16.6973956231057,0.00503639465008419,5.03639465008419e-06,1.46055444852442e-06,5.11194056983545e-07,2.13883593441915e-06
"Model","Fish",20.6155584210614,0.00603070754711119,6.03070754711119e-06,1.74890518866224e-06,6.12116816031786e-07,2.56109675827699e-06
"Model","Fish",19.972817639632,0.01524672140479,1.524672140479e-05,4.4215492073891e-06,1.54754222258618e-06,6.4749166593006e-06
"Model","Fish",22.8515193986093,0.0290301988460598,2.90301988460598e-05,8.41875766535734e-06,2.94656518287507e-06,1.23284287251493e-05
"Model","Fish",28.2495117095643,0.0160484742656309,1.60484742656309e-05,4.65405753703296e-06,1.62892013796154e-06,6.81540185723107e-06
"Model","Fish",44.3728804140484,0.0258386624554909,2.58386624554909e-05,7.49321211209236e-06,2.62262423923233e-06,1.09730598169481e-05
"Model","Fish",90.1383833361489,0.0248451042873934,2.48451042873934e-05,7.20508024334409e-06,2.52177808517043e-06,1.05511195083531e-05
"Model","Fish",33.890947199172,0.00800336554095756,8.00336554095756e-06,2.32097600687769e-06,8.12341602407192e-07,3.39883726447169e-06
"Model","Fish",30.0614284625455,0.00516540621212707,5.16540621212707e-06,1.49796780151685e-06,5.24288730530898e-07,2.19362404854128e-06
"Model","Fish",44.492814989997,0.00496804104900278,4.96804104900278e-06,1.44073190421081e-06,5.04256166473782e-07,2.1098078005263e-06
"Model","Fish",45.8626894764979,0.00448145877454492,4.48145877454492e-06,1.29962304461803e-06,4.54868065616309e-07,1.90316798653864e-06
"Model","Fish",60.1524848492388,0.00496684388033944,4.96684388033944e-06,1.44038472529844e-06,5.04134653854453e-07,2.10929939172703e-06
"Model","Fish",68.8528056142743,0.00721558229030841,7.21558229030841e-06,2.09251886418944e-06,7.32381602466303e-07,3.06428462471901e-06
"Model","Fish",98.8272214772047,0.00957685404243753,9.57685404243753e-06,2.77728767230688e-06,9.72050685307409e-07,4.0670600673262e-06
"Model","Fish",148.574116276524,0.00658936545177266,6.58936545177266e-06,1.91091598101407e-06,6.68820593354925e-07,2.79834536259701e-06
"Model","Fish",78.9312732236349,0.00414633634796525,4.14633634796525e-06,1.20243754090992e-06,4.20853139318473e-07,1.76084953490849e-06
"Model","Fish",93.1686877913314,0.00419953664562729,4.19953664562729e-06,1.21786562723191e-06,4.2625296953117e-07,1.78344242451841e-06
"Model","Fish",157.970317806256,0.00355051082786013,3.55051082786013e-06,1.02964814007944e-06,3.60376849027803e-07,1.50781673633233e-06
"Model","Fish",189.29336363169,0.00364264516002293,3.64264516002293e-06,1.05636709640665e-06,3.69728483742327e-07,1.5469439759779e-06
"Model","Fish",223.447024344412,0.00359554632128779,3.59554632128779e-06,1.04270843317346e-06,3.64947951610711e-07,1.52694222953921e-06
