"Method","Organism","Biomass (g)","Respiration (cal/m2/day)","log10[Production (cal/m2/day)]","Production (cal/m2/day)","Production (J/m2/day)"
"Model","Fish",6.64794570546078,1.06607206755039e-06,-5.40982600526594,3.89201042366031e-06,1.62841716125947e-05
"Model","Fish",8.08902702137857,9.49224229095638e-07,-5.45187440818927,3.53285320129976e-06,1.47814577942382e-05
"Model","Fish",9.69336350743276,9.4908697947179e-07,-5.4519267831981,3.53242717226079e-06,1.47796752887392e-05
"Model","Fish",7.85039483881058,8.34516931718824e-07,-5.49852308272161,3.17305001196607e-06,1.3276041250066e-05
"Model","Fish",5.64620225439006,2.27255593401677e-07,-5.9696668392469,1.07234161626605e-06,4.48667732245716e-06
"Model","Fish",4.55375065745828,2.52780205459508e-06,-5.09711228587102,7.99627486372752e-06,3.34564140298359e-05
"Model","Fish",5.2947070119464,2.56026631479112e-06,-5.09249019134166,8.08183181942163e-06,3.38143843324601e-05
"Model","Fish",5.13948463238912,2.00448016696084e-06,-5.18113052920443,6.58975807267309e-06,2.75715477760642e-05
"Model","Fish",6.84425083664877,2.03000329803015e-06,-5.1765477159317,6.65966347560732e-06,2.7864031981941e-05
"Model","Fish",7.49229768203018,2.02985653225414e-06,-5.17657390343612,6.65926191695075e-06,2.78623518605219e-05
"Model","Fish",7.26667085929924,2.62641934474471e-06,-5.08325036686702,8.25561883357682e-06,3.45415091996854e-05
"Model","Fish",4.90649445102774,4.07108503423891e-06,-4.9245017150996,1.18986663017376e-05,4.978401980647e-05
"Model","Fish",6.73387217992442,4.17627511101246e-06,-4.91526189062496,1.21545283061953e-05,5.08545464331212e-05
"Model","Fish",9.81968814246113,3.48607307323195e-06,-4.98069137040736,1.04546290922402e-05,4.37421681219329e-05
"Model","Fish",11.417964756132,3.44104015217641e-06,-4.9854007566181,1.03418740269354e-05,4.32704009286975e-05
"Model","Fish",10.2827335133676,2.08230465423423e-06,-5.16733407896148,6.80245881474352e-06,2.84614876808869e-05
"Model","Fish",12.7028807396704,1.76093625719362e-06,-5.22804980794906,5.91493793612355e-06,2.4748100324741e-05
"Model","Fish",10.4437928192035,1.56841848596193e-06,-5.26998473168659,5.37050676909276e-06,2.24702003218841e-05
"Model","Fish",8.084422685798,1.34405785641021e-06,-5.32589941819799,4.72172382855545e-06,1.9755692498676e-05
"Model","Fish",9.83481627867907,1.36127021967506e-06,-5.32129041742084,4.77210051409214e-06,1.99664685509615e-05
"Model","Fish",12.7254022111295,5.96778200822905e-07,-5.61997199903307,2.39898758782017e-06,1.00373640674396e-05
"Model","Fish",16.6973956231057,5.11194056983545e-07,-5.67603944598688,2.10843663669851e-06,8.82169888794658e-06
"Model","Fish",20.6155584210614,6.12116816031786e-07,-5.61078018498319,2.45030313127871e-06,1.02520683012701e-05
"Model","Fish",19.972817639632,1.54754222258618e-06,-5.27483814917162,5.31082328624034e-06,2.22204846296296e-05
"Model","Fish",22.8515193986093,2.94656518287507e-06,-5.04159041192586,9.08677109925276e-06,3.80190502792735e-05
"Model","Fish",28.2495117095643,1.62892013796154e-06,-5.25627557312502,5.54273897618892e-06,2.31908198763744e-05
"Model","Fish",44.3728804140484,2.62262423923233e-06,-5.08377411695534,8.24566873044219e-06,3.44998779681701e-05
"Model","Fish",90.1383833361489,2.52177808517043e-06,-5.09797647351674,7.98037917191352e-06,3.33899064552862e-05
"Model","Fish",33.890947199172,8.12341602407192e-07,-5.50827792811643,3.10257345106354e-06,1.29811673192498e-05
"Model","Fish",30.0614284625455,5.24288730530898e-07,-5.66687818402549,2.15338565671234e-06,9.00976558768444e-06
"Model","Fish",44.492814989997,5.04256166473782e-07,-5.68098888432143,2.08454423589849e-06,8.72173308299928e-06
"Model","Fish",45.8626894764979,4.54868065616309e-07,-5.71832353644995,1.91283039244451e-06,8.00328236198784e-06
"Model","Fish",60.1524848492388,5.04134653854453e-07,-5.68107617600282,2.08412529185688e-06,8.71998022112919e-06
"Model","Fish",68.8528056142743,7.32381602466303e-07,-5.54580898652806,2.84571244707385e-06,1.1906460878557e-05
"Model","Fish",98.8272214772047,9.72050685307409e-07,-5.44326744840468,3.60356658863076e-06,1.50773226068311e-05
"Model","Fish",148.574116276524,6.68820593354925e-07,-5.57869176290593,2.63820316546129e-06,1.103824204429e-05
"Model","Fish",78.9312732236349,4.20853139318473e-07,-5.74647510369673,1.79277132157184e-06,7.50095520945656e-06
"Model","Fish",93.1686877913314,4.2625296953117e-07,-5.74185737375145,1.81193505083122e-06,7.58113625267783e-06
"Model","Fish",157.970317806256,3.60376849027803e-07,-5.80266475900449,1.57519832382406e-06,6.59062978687987e-06
"Model","Fish",189.29336363169,3.69728483742327e-07,-5.79338565327323,1.60921601753879e-06,6.73295981738232e-06
"Model","Fish",223.447024344412,3.64947951610711e-07,-5.79809940406804,1.5918443339505e-06,6.66027669324888e-06
