ID,Vial,Day,Type,Site,Transect,DistancePrimary,DistanceSecondary,DistanceClosest,Contents,Group,Trophic,Flight,Abundance,Biomass
S1/B2-A,B2-Sur,3,Aquatic,2,B,35,107,35,AtheriL,Aquatic,Predator,None,1,0.6
S1/B2-A,B2-Sur,3,Aquatic,2,B,35,107,35,BaeSpp,Aquatic,Detritivore,None,29,6.7
S1/B2-A,B2-Sur,3,Aquatic,2,B,35,107,35,ChironL,Aquatic,General,None,3,0.8
S1/B2-A,B2-Sur,3,Aquatic,2,B,35,107,35,ChironP,Aquatic,General,None,1,0.6
S1/B2-A,B2-Sur,3,Aquatic,2,B,35,107,35,ColeopA,Misc,General,Moderate,5,3.9
S1/B2-A,B2-Sur,3,Aquatic,2,B,35,107,35,DruDis,Aquatic,Detritivore,None,1,3
S1/B2-A,B2-Sur,3,Aquatic,2,B,35,107,35,ElaterA,Misc,General,Moderate,5,1.5
S1/B2-A,B2-Sur,3,Aquatic,2,B,35,107,35,ElmidaL,Aquatic,Detritivore,None,1,0.1
S1/B2-A,B2-Sur,3,Aquatic,2,B,35,107,35,GamSpp,Aquatic,Detritivore,None,325,327.4
S1/B2-A,B2-Sur,3,Aquatic,2,B,35,107,35,GloSpp,Aquatic,Detritivore,None,30,9.5
S1/B2-A,B2-Sur,3,Aquatic,2,B,35,107,35,HexSpp,Aquatic,General,None,1,0.6
S1/B2-A,B2-Sur,3,Aquatic,2,B,35,107,35,Hydrac,Aquatic,Predator,None,8,1.3
S1/B2-A,B2-Sur,3,Aquatic,2,B,35,107,35,HydSppL,Aquatic,Detritivore,None,1,15.4
S1/B2-A,B2-Sur,3,Aquatic,2,B,35,107,35,LeuSpp,Aquatic,Detritivore,None,17,2.3
S1/B2-A,B2-Sur,3,Aquatic,2,B,35,107,35,RhiSpp,Aquatic,Detritivore,None,15,118.8
S1/B2-A,B2-Sur,3,Aquatic,2,B,35,107,35,RhyTriL,Aquatic,Predator,None,19,5.4
S1/B2-A,B2-Sur,3,Aquatic,2,B,35,107,35,RhyTriP,Aquatic,Predator,None,1,1
S1/B2-A,B2-Sur,3,Aquatic,2,B,35,107,35,SerIgn,Aquatic,Predator,None,40,32.2
S1/B2-A,B2-Sur,3,Aquatic,2,B,35,107,35,TipSpp,Aquatic,General,None,1,3.7
S2/A2-P,A2-1.1,4,Pitfall,2,A,43,148,43,BemFas,Carabid,Predator,Moderate,1,1.95
S2/A2-P,A2-1.1,4,Pitfall,2,A,43,148,43,BemPun,Carabid,Predator,Moderate,1,2.15
S2/A2-P,A2-1.1,4,Pitfall,2,A,43,148,43,Clubio,Spider,Predator,None,0.5,0.55
S2/A2-P,A2-1.1,4,Pitfall,2,A,43,148,43,DipterA,Diptera,General,Strong,1,1.85
S2/A2-P,A2-1.1,4,Pitfall,2,A,43,148,43,HemiptA,Misc,General,Weak,1,0.05
S2/A2-P,A2-1.1,4,Pitfall,2,A,43,148,43,Mirida,Misc,Herbivore,Weak,0.5,1.1
S2/A2-P,A2-1.1,4,Pitfall,2,A,43,148,43,PerAer,Carabid,Predator,Moderate,0.5,0.1
S2/A2-P,A2-1.1,4,Pitfall,2,A,43,148,43,PhiRuf,Staphylinid,Predator,Weak,0.5,6.85
S2/A2-P,A2-1.1,4,Pitfall,2,A,43,148,43,ThiDil,Staphylinid,Predator,Weak,5.5,1.05
S2/A2-P,A2-1.2,4,Pitfall,2,A,43,148,43,BemFas,Carabid,Predator,Moderate,3,6
S2/A2-P,A2-1.2,4,Pitfall,2,A,43,148,43,BemPun,Carabid,Predator,Moderate,1,3.05
S2/A2-P,A2-1.2,4,Pitfall,2,A,43,148,43,ElaterA,Misc,General,Moderate,0.5,0.35
S2/A2-P,A2-1.2,4,Pitfall,2,A,43,148,43,HemiptA,Misc,General,Weak,0.5,0.05
S2/A2-P,A2-1.2,4,Pitfall,2,A,43,148,43,PhiRuf,Staphylinid,Predator,Weak,0.5,0.3
S2/A2-P,A2-1.2,4,Pitfall,2,A,43,148,43,ThiDil,Staphylinid,Predator,Weak,2,0.45
S2/A2-P,A2-1.3,4,Pitfall,2,A,43,148,43,BemFas,Carabid,Predator,Moderate,1.5,3.95
S2/A2-P,A2-1.3,4,Pitfall,2,A,43,148,43,CeratoA,Diptera,General,Strong,0.5,0.2
S2/A2-P,A2-1.3,4,Pitfall,2,A,43,148,43,DipterA,Diptera,General,Strong,0.5,0.7
S2/A2-P,A2-1.3,4,Pitfall,2,A,43,148,43,ScoGra,Staphylinid,Predator,Weak,1.5,0.35
S2/A2-P,A2-1.3,4,Pitfall,2,A,43,148,43,ThiDil,Staphylinid,Predator,Weak,3.5,1.05
S2/A2-P,A2-1.4,4,Pitfall,2,A,43,148,43,ThiDil,Staphylinid,Predator,Weak,4,0.9
S2/A2-P,A2-1.4,4,Pitfall,2,A,43,148,43,TrichoA,Adult Aquatic,Herbivore,Strong,0.5,0.5
S2/A2-P,A2-1.5,4,Pitfall,2,A,43,148,43,BemFas,Carabid,Predator,Moderate,0.5,0.8
S2/A2-P,A2-1.5,4,Pitfall,2,A,43,148,43,ParWag,Spider,Predator,None,0.5,4.5
S2/A2-P,A2-1.5,4,Pitfall,2,A,43,148,43,ThiDil,Staphylinid,Predator,Weak,2.5,0.65
S2/A2-P,A2-2.1,4,Pitfall,2,A,43,148,43,BemFas,Carabid,Predator,Moderate,0.5,1.2
S2/A2-P,A2-2.1,4,Pitfall,2,A,43,148,43,BemPun,Carabid,Predator,Moderate,3.5,7.35
S2/A2-P,A2-2.1,4,Pitfall,2,A,43,148,43,ColeopA,Misc,General,Moderate,0.5,0.05
S2/A2-P,A2-2.1,4,Pitfall,2,A,43,148,43,DipterA,Diptera,General,Strong,1.5,5
S2/A2-P,A2-2.1,4,Pitfall,2,A,43,148,43,OchRos,Staphylinid,Predator,Weak,0.5,1.4
S2/A2-P,A2-2.1,4,Pitfall,2,A,43,148,43,ThiDil,Staphylinid,Predator,Weak,4,1.2
S2/A2-P,A2-2.2,4,Pitfall,2,A,43,148,43,Aphidi,Misc,Herbivore,Moderate,0.5,0.5
S2/A2-P,A2-2.2,4,Pitfall,2,A,43,148,43,BemFas,Carabid,Predator,Moderate,12.5,34.55
S2/A2-P,A2-2.2,4,Pitfall,2,A,43,148,43,BemTes,Carabid,Predator,Moderate,0.5,0.6
S2/A2-P,A2-2.2,4,Pitfall,2,A,43,148,43,Dipte1L,Diptera,General,None,0.5,10.55
S2/A2-P,A2-2.2,4,Pitfall,2,A,43,148,43,DipterA,Diptera,General,Strong,1.5,2.4
S2/A2-P,A2-2.2,4,Pitfall,2,A,43,148,43,Mirida,Misc,Herbivore,Weak,0.5,1.2
S2/A2-P,A2-2.2,4,Pitfall,2,A,43,148,43,PerAer,Carabid,Predator,Moderate,0.5,0.1
S2/A2-P,A2-2.2,4,Pitfall,2,A,43,148,43,ScoGra,Staphylinid,Predator,Weak,0.5,0.1
S2/A2-P,A2-2.2,4,Pitfall,2,A,43,148,43,ThiDil,Staphylinid,Predator,Weak,5.5,1.9
S2/A2-P,A2-2.3,4,Pitfall,2,A,43,148,43,BemFas,Carabid,Predator,Moderate,2.5,9.8
S2/A2-P,A2-2.3,4,Pitfall,2,A,43,148,43,BemPun,Carabid,Predator,Moderate,0.5,1.25
S2/A2-P,A2-2.3,4,Pitfall,2,A,43,148,43,CicHyb,Carabid,Predator,Moderate,0.5,17.35
S2/A2-P,A2-2.3,4,Pitfall,2,A,43,148,43,Formi1W,Ant,General,None,0.5,0.4
S2/A2-P,A2-2.3,4,Pitfall,2,A,43,148,43,ThiDil,Staphylinid,Predator,Weak,1.5,0.75
S2/A2-P,A2-2.3,4,Pitfall,2,A,43,148,43,TipuliA,Diptera,Herbivore,Strong,0.5,0.05
S2/A2-P,A2-2.4,4,Pitfall,2,A,43,148,43,BemPun,Carabid,Predator,Moderate,10,29.5
S2/A2-P,A2-2.4,4,Pitfall,2,A,43,148,43,BemTes,Carabid,Predator,Moderate,0.5,0.65
S2/A2-P,A2-2.4,4,Pitfall,2,A,43,148,43,DipterA,Diptera,General,Strong,5.5,0.15
S2/A2-P,A2-2.4,4,Pitfall,2,A,43,148,43,ScoGra,Staphylinid,Predator,Weak,0.5,20.55
S2/A2-P,A2-2.4,4,Pitfall,2,A,43,148,43,ThiDil,Staphylinid,Predator,Weak,3,1.05
S2/A2-P,A2-2.5,4,Pitfall,2,A,43,148,43,BemFas,Carabid,Predator,Moderate,1.5,4.15
S2/A2-P,A2-2.5,4,Pitfall,2,A,43,148,43,BemPun,Carabid,Predator,Moderate,1.5,3.3
S2/A2-P,A2-2.5,4,Pitfall,2,A,43,148,43,CeratoA,Diptera,General,Strong,0.5,0.05
S2/A2-P,A2-2.5,4,Pitfall,2,A,43,148,43,DipterA,Diptera,General,Strong,1,2.9
S2/A2-P,A2-2.5,4,Pitfall,2,A,43,148,43,Mirida,Misc,Herbivore,Weak,0.5,1.35
S2/A2-P,A2-2.5,4,Pitfall,2,A,43,148,43,ParWag,Spider,Predator,None,0.5,1.65
S2/A2-P,A2-2.5,4,Pitfall,2,A,43,148,43,ThiDil,Staphylinid,Predator,Weak,0.5,0.15
S2/A2-P,A2-2.5,4,Pitfall,2,A,43,148,43,TipuliA,Diptera,Herbivore,Strong,0.5,0.05
S2/B2-P,B2-1.1,4,Pitfall,2,B,35,107,35,BemPun,Carabid,Predator,Moderate,1,1.95
S2/B2-P,B2-1.1,4,Pitfall,2,B,35,107,35,ColeopA,Misc,General,Moderate,0.5,0.05
S2/B2-P,B2-1.1,4,Pitfall,2,B,35,107,35,DipterA,Diptera,General,Strong,0.5,2.1
S2/B2-P,B2-1.1,4,Pitfall,2,B,35,107,35,PaeRub,Staphylinid,Predator,Weak,1,1.95
S2/B2-P,B2-1.1,4,Pitfall,2,B,35,107,35,ThiDil,Staphylinid,Predator,Weak,1.5,0.6
S2/B2-P,B2-1.2,4,Pitfall,2,B,35,107,35,BemPun,Carabid,Predator,Moderate,2,5.2
S2/B2-P,B2-1.2,4,Pitfall,2,B,35,107,35,DipterA,Diptera,General,Strong,0.5,0.05
S2/B2-P,B2-1.2,4,Pitfall,2,B,35,107,35,HemiptA,Misc,General,Weak,0.5,0.05
S2/B2-P,B2-1.2,4,Pitfall,2,B,35,107,35,OchRos,Staphylinid,Predator,Weak,0.5,0.05
S2/B2-P,B2-1.2,4,Pitfall,2,B,35,107,35,ThiDil,Staphylinid,Predator,Weak,1.5,0.55
S2/B2-P,B2-1.3,4,Pitfall,2,B,35,107,35,BemPun,Carabid,Predator,Moderate,0.5,2
S2/B2-P,B2-1.3,4,Pitfall,2,B,35,107,35,PaeRub,Staphylinid,Predator,Weak,0.5,1.7
S2/B2-P,B2-1.3,4,Pitfall,2,B,35,107,35,ThiDil,Staphylinid,Predator,Weak,1,0.05
S2/B2-P,B2-1.4,4,Pitfall,2,B,35,107,35,BemPun,Carabid,Predator,Moderate,2.5,5.95
S2/B2-P,B2-1.4,4,Pitfall,2,B,35,107,35,Dipte2L,Diptera,General,None,0.5,0.95
S2/B2-P,B2-1.4,4,Pitfall,2,B,35,107,35,DipterA,Diptera,General,Strong,0.5,3.4
S2/B2-P,B2-1.4,4,Pitfall,2,B,35,107,35,LabRip,Earwig,Predator,None,0.5,26.15
S2/B2-P,B2-1.4,4,Pitfall,2,B,35,107,35,ThiDil,Staphylinid,Predator,Weak,1,0.05
S2/B2-P,B2-1.5,4,Pitfall,2,B,35,107,35,BemPun,Carabid,Predator,Moderate,0.5,0.9
S2/B2-P,B2-1.5,4,Pitfall,2,B,35,107,35,DipterA,Diptera,General,Strong,0.5,1.1
S2/B2-P,B2-2.1,4,Pitfall,2,B,35,107,35,BemPun,Carabid,Predator,Moderate,1.5,3.6
S2/B2-P,B2-2.1,4,Pitfall,2,B,35,107,35,DipterA,Diptera,General,Strong,1,4.1
S2/B2-P,B2-2.1,4,Pitfall,2,B,35,107,35,ParWag,Spider,Predator,None,0.5,1.4
S2/B2-P,B2-2.1,4,Pitfall,2,B,35,107,35,PhiRuf,Staphylinid,Predator,Weak,0.5,0.35
S2/B2-P,B2-2.2,4,Pitfall,2,B,35,107,35,BemPun,Carabid,Predator,Moderate,5,13.4
S2/B2-P,B2-2.2,4,Pitfall,2,B,35,107,35,DipterA,Diptera,General,Strong,1,3.2
S2/B2-P,B2-2.2,4,Pitfall,2,B,35,107,35,ParWag,Spider,Predator,None,0.5,1.4
S2/B2-P,B2-2.3,4,Pitfall,2,B,35,107,35,BemPun,Carabid,Predator,Moderate,5,12.15
S2/B2-P,B2-2.3,4,Pitfall,2,B,35,107,35,DipterA,Diptera,General,Strong,1,3.4
S2/B2-P,B2-2.3,4,Pitfall,2,B,35,107,35,PaeRub,Staphylinid,Predator,Weak,0.5,1.5
S2/B2-P,B2-2.4,4,Pitfall,2,B,35,107,35,BemPun,Carabid,Predator,Moderate,6.5,18.25
S2/B2-P,B2-2.4,4,Pitfall,2,B,35,107,35,Dipte1L,Diptera,General,None,0.5,7.35
S2/B2-P,B2-2.4,4,Pitfall,2,B,35,107,35,ElaterA,Misc,General,Moderate,0.5,0.45
S2/B2-P,B2-2.4,4,Pitfall,2,B,35,107,35,LabRip,Earwig,Predator,None,0.5,22.8
S2/B2-P,B2-2.4,4,Pitfall,2,B,35,107,35,PaeRub,Staphylinid,Predator,Weak,0.5,1.55
S2/B2-P,B2-2.4,4,Pitfall,2,B,35,107,35,PhiRuf,Staphylinid,Predator,Weak,1.5,0.7
S2/B2-P,B2-2.4,4,Pitfall,2,B,35,107,35,ThiDil,Staphylinid,Predator,Weak,1.5,0.3
S2/B2-P,B2-2.5,4,Pitfall,2,B,35,107,35,BemPun,Carabid,Predator,Moderate,0.5,1.1
S2/B2-P,B2-2.5,4,Pitfall,2,B,35,107,35,DipterA,Diptera,General,Strong,1,1.35
S2/B2-P,B2-2.5,4,Pitfall,2,B,35,107,35,Formi1W,Ant,General,None,1,0.35
S2/B2-P,B2-2.5,4,Pitfall,2,B,35,107,35,PaeRub,Staphylinid,Predator,Weak,0.5,1
S2/B2-P,B2-2.5,4,Pitfall,2,B,35,107,35,ParWag,Spider,Predator,None,0.5,1.5
S2/A2-A,A2-Sur,5,Aquatic,2,A,43,148,43,BaeSpp,Aquatic,Detritivore,None,4,0.4
S2/A2-A,A2-Sur,5,Aquatic,2,A,43,148,43,ChironL,Aquatic,General,None,1,0.5
S2/A2-A,A2-Sur,5,Aquatic,2,A,43,148,43,GamSpp,Aquatic,Detritivore,None,466,521.1
S2/A2-A,A2-Sur,5,Aquatic,2,A,43,148,43,LeuSpp,Aquatic,Detritivore,None,2,0.3
S2/A2-A,A2-Sur,5,Aquatic,2,A,43,148,43,RhiSpp,Aquatic,Detritivore,None,3,18.9
S2/A2-A,A2-Sur,5,Aquatic,2,A,43,148,43,SerIgn,Aquatic,Predator,None,3,2.9
S2/A2-A,A2-Sur,5,Aquatic,2,A,43,148,43,SimuliL,Aquatic,Detritivore,None,8,1.9
S2/A2-A,A2-Sur,5,Aquatic,2,A,43,148,43,TabaniL,Aquatic,General,None,1,7.9
S2/A2-A,A2-Sur,5,Aquatic,2,A,43,148,43,TipSpp,Aquatic,General,None,1,5.2
S2/B2-A,B2-Sur,5,Aquatic,2,B,35,107,35,BaeSpp,Aquatic,Detritivore,None,20,4.8
S2/B2-A,B2-Sur,5,Aquatic,2,B,35,107,35,ChironL,Aquatic,General,None,3,0.3
S2/B2-A,B2-Sur,5,Aquatic,2,B,35,107,35,DinFerr,Aquatic,Detritivore,None,1,2.7
S2/B2-A,B2-Sur,5,Aquatic,2,B,35,107,35,ElmidaL,Aquatic,Detritivore,None,3,1.1
S2/B2-A,B2-Sur,5,Aquatic,2,B,35,107,35,EphDan,Aquatic,Predator,None,2,45
S2/B2-A,B2-Sur,5,Aquatic,2,B,35,107,35,GamSpp,Aquatic,Detritivore,None,514,396.7
S2/B2-A,B2-Sur,5,Aquatic,2,B,35,107,35,GloSpp,Aquatic,Detritivore,None,5,0.6
S2/B2-A,B2-Sur,5,Aquatic,2,B,35,107,35,Hydrac,Aquatic,Predator,None,3,1
S2/B2-A,B2-Sur,5,Aquatic,2,B,35,107,35,LeuSpp,Aquatic,Detritivore,None,17,3.6
S2/B2-A,B2-Sur,5,Aquatic,2,B,35,107,35,RhaSpp,Aquatic,General,None,2,32.5
S2/B2-A,B2-Sur,5,Aquatic,2,B,35,107,35,RhiSpp,Aquatic,Detritivore,None,2,7.7
S2/B2-A,B2-Sur,5,Aquatic,2,B,35,107,35,RhyTriL,Aquatic,Predator,None,39,5.7
S2/B2-A,B2-Sur,5,Aquatic,2,B,35,107,35,SerIgn,Aquatic,Predator,None,12,13.7
S2/B2-A,B2-Sur,5,Aquatic,2,B,35,107,35,SimuliL,Aquatic,Detritivore,None,1,0.5
S2/B2-A,B2-Sur,5,Aquatic,2,B,35,107,35,TipSpp,Aquatic,General,None,1,4
S3/A2-P,A2-1.1,8,Pitfall,2,A,43,148,43,BemDec,Carabid,Predator,Moderate,0.25,0.125
S3/A2-P,A2-1.1,8,Pitfall,2,A,43,148,43,BemFas,Carabid,Predator,Moderate,0.75,2.425
S3/A2-P,A2-1.1,8,Pitfall,2,A,43,148,43,BemPun,Carabid,Predator,Moderate,2.25,4.9
S3/A2-P,A2-1.1,8,Pitfall,2,A,43,148,43,CeratoA,Diptera,General,Strong,0.25,0.125
S3/A2-P,A2-1.1,8,Pitfall,2,A,43,148,43,CicHyb,Carabid,Predator,Moderate,0.25,9.8
S3/A2-P,A2-1.1,8,Pitfall,2,A,43,148,43,DipterA,Diptera,General,Strong,1.5,4.525
S3/A2-P,A2-1.1,8,Pitfall,2,A,43,148,43,ElaterA,Misc,General,Moderate,0.25,0.275
S3/A2-P,A2-1.1,8,Pitfall,2,A,43,148,43,PirLat,Spider,Predator,None,0.25,0.475
S3/A2-P,A2-1.1,8,Pitfall,2,A,43,148,43,ThiDil,Staphylinid,Predator,Weak,0.5,0.125
S3/A2-P,A2-1.1,8,Pitfall,2,A,43,148,43,TipuliA,Diptera,Herbivore,Strong,0.5,0.125
S3/A2-P,A2-1.2,8,Pitfall,2,A,43,148,43,BemFas,Carabid,Predator,Moderate,0.75,1.725
S3/A2-P,A2-1.2,8,Pitfall,2,A,43,148,43,BemPun,Carabid,Predator,Moderate,1.75,3.325
S3/A2-P,A2-1.2,8,Pitfall,2,A,43,148,43,DipterA,Diptera,General,Strong,1.75,4.925
